Isolate,Collection_date,Geo_origin,Muts_counts,Gene
ISL_742473,2020-12-06,UK,3,S
ISL_742505,2020-12-07,UK,3,S
ISL_742530,2020-07-07,UK,3,S
ISL_742574,2020-12-12,UK,3,S
ISL_742657,2020-12-07,UK,3,S
ISL_742690,2020-12-09,UK,3,S
ISL_742810,2020-12-12,UK,4,S
ISL_742852,2020-12-07,UK,3,S
ISL_742935,2020-12-06,UK,2,S
ISL_742949,2020-12-07,UK,3,S
ISL_742954,2020-12-08,UK,4,S
ISL_743007,2020-12-08,UK,3,S
ISL_743041,2020-12-08,UK,4,S
ISL_743126,2020-11-27,UK,2,S
ISL_743206,2020-12-07,UK,5,S
ISL_743277,2020-12-08,UK,3,S
ISL_743307,2020-12-09,UK,3,S
ISL_743340,2020-12-09,UK,3,S
ISL_743394,2020-12-01,UK,3,S
ISL_743414,2020-12-04,UK,3,S
ISL_743523,2020-12-10,UK,4,S
ISL_743658,2020-12-09,UK,4,S
ISL_743659,2020-12-09,UK,3,S
ISL_743704,2020-12-10,UK,4,S
ISL_743778,2020-12-11,UK,2,S
ISL_743787,2020-12-11,UK,4,S
ISL_743792,2020-12-11,UK,3,S
ISL_743817,2020-12-13,UK,2,S
ISL_743851,2020-12-14,UK,3,S
ISL_743881,2020-12-13,UK,3,S
ISL_744065,2020-12-14,UK,3,S
ISL_744069,2020-12-14,UK,3,S
ISL_744121,2020-12-15,UK,2,S
ISL_745267,2020-06-24,USA,2,S
ISL_745422,2020-11-30,USA,1,S
ISL_745438,2020-11-30,USA,3,S
ISL_745442,2020-11-02,USA,1,S
ISL_745444,2020-11-02,USA,1,S
ISL_745446,2020-12-01,USA,2,S
ISL_745450,2020-12-01,USA,1,S
ISL_745462,2020-12-02,USA,2,S
ISL_745463,2020-12-02,USA,2,S
ISL_745464,2020-12-02,USA,3,S
ISL_745465,2020-12-02,USA,1,S
ISL_745468,2020-12-02,USA,1,S
ISL_745524,2020-08-09,USA,1,S
ISL_745545,2020-10-23,USA,2,S
ISL_745568,2020-07-25,USA,3,S
ISL_745575,2020-07-26,USA,2,S
ISL_745579,2020-08-10,USA,2,S
ISL_745580,2020-10-22,USA,3,S
ISL_745665,2020-07-27,USA,1,S
ISL_745673,2020-07-27,USA,1,S
ISL_745722,2020-08-03,USA,1,S
ISL_745730,2020-07-31,USA,1,S
ISL_745762,2020-08-03,USA,3,S
ISL_745774,2020-08-09,USA,1,S
ISL_745796,2020-08-08,USA,1,S
ISL_745817,2020-08-08,USA,2,S
ISL_745819,2020-08-09,USA,1,S
ISL_745820,2020-08-09,USA,1,S
ISL_745830,2020-08-10,USA,1,S
ISL_745849,2020-08-10,USA,2,S
ISL_745854,2020-08-10,USA,1,S
ISL_745866,2020-08-10,USA,1,S
ISL_745884,2020-08-15,USA,2,S
ISL_745907,2020-08-10,USA,1,S
ISL_745928,2020-08-11,USA,2,S
ISL_745972,2020-08-11,USA,3,S
ISL_745975,2020-08-11,USA,2,S
ISL_745988,2020-08-13,USA,3,S
ISL_745989,2020-08-13,USA,2,S
ISL_745993,2020-08-08,USA,2,S
ISL_745994,2020-09-22,USA,2,S
ISL_745996,2020-08-04,USA,1,S
ISL_745999,2020-08-08,USA,2,S
ISL_746001,2020-08-11,USA,2,S
ISL_746016,2020-08-11,USA,1,S
ISL_746019,2020-08-08,USA,1,S
ISL_746020,2020-08-17,USA,1,S
ISL_746081,2020-08-17,USA,1,S
ISL_746086,2020-08-04,USA,2,S
ISL_746087,2020-08-08,USA,1,S
ISL_746088,2020-07-31,USA,1,S
ISL_746104,2020-09-09,USA,1,S
ISL_746118,2020-10-02,USA,2,S
ISL_746131,2020-10-02,USA,2,S
ISL_746135,2020-09-07,USA,1,S
ISL_746137,2020-09-09,USA,1,S
ISL_746164,2020-08-17,USA,1,S
ISL_746177,2020-08-17,USA,1,S
ISL_746196,2020-08-14,USA,2,S
ISL_746197,2020-08-17,USA,1,S
ISL_746201,2020-08-14,USA,2,S
ISL_746215,2020-08-16,USA,1,S
ISL_746255,2020-10-26,USA,1,S
ISL_746257,2020-10-21,USA,2,S
ISL_746263,2020-10-12,USA,2,S
ISL_746283,2020-08-15,USA,1,S
ISL_746288,2020-08-17,USA,3,S
ISL_746298,2020-10-23,USA,2,S
ISL_746301,2020-10-19,USA,1,S
ISL_746306,2020-08-09,USA,3,S
ISL_746370,2020-06-17,USA,1,S
ISL_746403,2020-11-30,USA,2,S
ISL_746464,2020-07-14,USA,1,S
ISL_746857,2020-12-04,USA,1,S
ISL_746865,2020-12-01,USA,1,S
ISL_746866,2020-12-04,USA,2,S
ISL_746869,2020-12-03,USA,2,S
ISL_746875,2020-11-30,USA,2,S
ISL_746879,2020-12-03,USA,2,S
ISL_746882,2020-10-09,USA,2,S
ISL_746883,2020-12-04,USA,1,S
ISL_746887,2020-12-03,USA,1,S
ISL_746889,2020-11-30,USA,1,S
ISL_746952,2020-11-27,USA,1,S
ISL_746967,2020-12-01,USA,2,S
ISL_747001,2020-11-24,USA,1,S
ISL_747003,2020-11-28,USA,3,S
ISL_747021,2020-12-03,USA,2,S
ISL_747024,2020-12-02,USA,2,S
ISL_747025,2020-12-02,USA,2,S
ISL_747027,2020-12-02,USA,2,S
ISL_747028,2020-12-02,USA,2,S
ISL_747046,2020-11-04,USA,2,S
ISL_747050,2020-11-05,USA,3,S
ISL_747052,2020-11-07,USA,2,S
ISL_747091,2020-11-04,USA,3,S
ISL_747099,2020-10-30,USA,1,S
ISL_747102,2020-11-04,USA,1,S
ISL_747117,2020-11-03,USA,2,S
ISL_747121,2020-11-06,USA,1,S
ISL_747139,2020-11-03,USA,1,S
ISL_747149,2020-11-04,USA,1,S
ISL_747167,2020-11-18,USA,1,S
ISL_747179,2020-11-18,USA,1,S
ISL_747196,2020-12-08,USA,2,S
ISL_747198,2020-12-08,USA,2,S
ISL_747199,2020-12-08,USA,5,S
ISL_747202,2020-12-08,USA,2,S
ISL_747216,2020-12-08,USA,3,S
ISL_747219,2020-12-08,USA,1,S
ISL_747231,2020-12-07,USA,2,S
ISL_751562,2020-11-23,USA,2,S
ISL_751571,2020-11-13,USA,2,S
ISL_751587,2020-11-02,USA,1,S
ISL_751588,2020-11-18,USA,2,S
ISL_751600,2020-12-04,USA,1,S
ISL_751611,2020-12-02,USA,3,S
ISL_751617,2020-12-01,USA,1,S
ISL_751644,2020-12-04,USA,1,S
ISL_751648,2020-12-03,USA,2,S
ISL_751665,2020-12-02,USA,3,S
ISL_751669,2020-12-03,USA,1,S
ISL_751671,2020-12-03,USA,2,S
ISL_751681,2020-11-02,USA,1,S
ISL_751685,2020-11-09,USA,1,S
ISL_751699,2020-09-02,USA,1,S
ISL_751703,2020-12-02,USA,4,S
ISL_751707,2020-11-03,USA,2,S
ISL_751713,2020-12-02,USA,1,S
ISL_751718,2020-12-02,USA,3,S
ISL_751722,2020-12-04,USA,2,S
ISL_751724,2020-11-02,USA,1,S
ISL_751734,2020-11-17,USA,1,S
ISL_751744,2020-12-01,USA,1,S
ISL_751754,2020-12-03,USA,1,S
ISL_751764,2020-09-01,USA,1,S
ISL_751771,2020-12-02,USA,3,S
ISL_751773,2020-12-04,USA,3,S
ISL_751783,2020-11-28,USA,1,S
ISL_751790,2020-12-01,USA,1,S
ISL_751795,2020-12-04,USA,2,S
ISL_751804,2020-12-12,USA,1,S
ISL_751816,2020-12-12,USA,1,S
ISL_751821,2020-12-12,USA,1,S
ISL_751823,2020-12-12,USA,1,S
ISL_751830,2020-12-12,USA,1,S
ISL_751831,2020-12-12,USA,2,S
ISL_751833,2020-12-12,USA,1,S
ISL_751837,2020-12-12,USA,1,S
ISL_751842,2020-12-12,USA,2,S
ISL_751845,2020-12-11,USA,1,S
ISL_752612,2020-03-25,USA,1,S
ISL_752613,2020-04-20,USA,1,S
ISL_752701,2020-07-14,USA,1,S
ISL_752735,2020-07-28,USA,3,S
ISL_752745,2020-07-30,USA,3,S
ISL_752757,2020-08-10,USA,3,S
ISL_752758,2020-08-10,USA,3,S
ISL_752772,2020-08-07,USA,3,S
ISL_752775,2020-08-10,USA,3,S
ISL_752790,2020-08-11,USA,3,S
ISL_752819,2020-08-31,USA,3,S
ISL_752836,2020-09-04,USA,3,S
ISL_752837,2020-09-08,USA,3,S
ISL_752841,2020-09-09,USA,3,S
ISL_752853,2020-08-11,USA,3,S
ISL_752878,2020-08-14,USA,3,S
ISL_752891,2020-08-14,USA,4,S
ISL_752915,2020-09-25,USA,3,S
ISL_752942,2020-09-09,USA,3,S
ISL_752946,2020-09-12,USA,3,S
ISL_752949,2020-09-23,USA,3,S
ISL_752957,2020-08-07,USA,1,S
ISL_752964,2020-08-11,USA,3,S
ISL_752968,2020-09-23,USA,3,S
ISL_753007,2020-10-12,USA,3,S
ISL_753014,2020-10-10,USA,4,S
ISL_753023,2020-09-14,USA,3,S
ISL_753034,2020-10-09,USA,3,S
ISL_753035,2020-10-09,USA,3,S
ISL_753066,2020-10-24,USA,3,S
ISL_753076,2020-11-05,USA,3,S
ISL_753137,2020-11-23,USA,3,S
ISL_753145,2020-11-23,USA,3,S
ISL_753160,2020-11-23,USA,3,S
ISL_753171,2020-11-23,USA,3,S
ISL_753178,2020-12-01,USA,3,S
ISL_753182,2020-12-01,USA,3,S
ISL_753186,2020-12-01,USA,3,S
ISL_753188,2020-12-01,USA,3,S
ISL_753210,2020-12-01,USA,4,S
ISL_753217,2020-12-01,USA,3,S
ISL_753219,2020-12-01,USA,3,S
ISL_753232,2020-12-09,USA,3,S
ISL_753235,2020-12-09,USA,3,S
ISL_753237,2020-12-09,USA,3,S
ISL_753242,2020-12-09,USA,3,S
ISL_753251,2020-12-09,USA,3,S
ISL_753258,2020-12-09,USA,3,S
ISL_753260,2020-12-09,USA,3,S
ISL_753261,2020-12-09,USA,3,S
ISL_753262,2020-11-02,USA,1,S
ISL_753264,2020-11-02,USA,1,S
ISL_753288,2020-11-05,USA,4,S
ISL_753296,2020-11-09,USA,1,S
ISL_753311,2020-11-13,USA,2,S
ISL_753316,2020-11-13,USA,3,S
ISL_753320,2020-11-14,USA,2,S
ISL_753328,2020-11-09,USA,1,S
ISL_753335,2020-11-15,USA,3,S
ISL_753352,2020-11-16,USA,2,S
ISL_753360,2020-11-17,USA,1,S
ISL_753362,2020-11-17,USA,1,S
ISL_753363,2020-11-17,USA,1,S
ISL_753367,2020-11-18,USA,1,S
ISL_753441,2020-11-30,USA,5,S
ISL_753491,2020-11-30,USA,1,S
ISL_753496,2020-11-30,USA,1,S
ISL_753541,2020-11-30,USA,1,S
ISL_753566,2020-12-01,USA,3,S
ISL_753576,2020-12-02,USA,2,S
ISL_753578,2020-12-02,USA,1,S
ISL_753581,2020-12-02,USA,1,S
ISL_753588,2020-12-02,USA,6,S
ISL_753591,2020-12-02,USA,2,S
ISL_753596,2020-12-03,USA,2,S
ISL_753600,2020-12-03,USA,2,S
ISL_753603,2020-12-03,USA,2,S
ISL_753608,2020-12-04,USA,1,S
ISL_753613,2020-12-04,USA,6,S
ISL_753616,2020-12-04,USA,1,S
ISL_753620,2020-12-04,USA,5,S
ISL_753621,2020-12-04,USA,1,S
ISL_753622,2020-12-04,USA,2,S
ISL_753632,2020-12-04,USA,3,S
ISL_753637,2020-12-04,USA,6,S
ISL_753640,2020-12-05,USA,2,S
ISL_753641,2020-12-04,USA,2,S
ISL_753656,2020-12-03,USA,3,S
ISL_753658,2020-12-03,USA,6,S
ISL_753661,2020-12-09,USA,2,S
ISL_753663,2020-12-10,USA,1,S
ISL_753674,2020-12-15,USA,5,S
ISL_753682,2020-12-17,USA,1,S
ISL_753686,2020-12-17,USA,1,S
ISL_754120,2020-12-20,USA,2,S
ISL_754121,2020-12-20,USA,2,S
ISL_754131,2020-12-17,USA,1,S
ISL_754133,2020-12-18,USA,2,S
ISL_754135,2020-12-19,USA,1,S
ISL_754215,2020-12-12,USA,1,S
ISL_754216,2020-12-12,USA,2,S
ISL_754223,2020-10-12,USA,1,S
ISL_754271,2020-12-21,UK,7,S
ISL_754324,2020-12-18,UK,4,S
ISL_754330,2020-12-22,UK,2,S
ISL_754389,2020-12-02,USA,3,S
ISL_754390,2020-12-19,USA,3,S
ISL_754399,2020-12-08,USA,1,S
ISL_754415,2020-12-01,USA,3,S
ISL_754418,2020-12-01,USA,1,S
ISL_754420,2020-12-01,USA,1,S
ISL_754423,2020-12-01,USA,2,S
ISL_754426,2020-12-01,USA,2,S
ISL_754432,2020-12-02,USA,2,S
ISL_754433,2020-12-02,USA,1,S
ISL_754434,2020-12-02,USA,1,S
ISL_754439,2020-12-03,USA,2,S
ISL_754444,2020-12-05,USA,3,S
ISL_754447,2020-12-06,USA,2,S
ISL_754448,2020-12-07,USA,1,S
ISL_754449,2020-12-07,USA,3,S
ISL_754451,2020-12-07,USA,1,S
ISL_754457,2020-12-08,USA,2,S
ISL_754459,2020-12-08,USA,1,S
ISL_754462,2020-12-07,USA,2,S
ISL_754463,2020-12-07,USA,2,S
ISL_754466,2020-12-08,USA,2,S
ISL_754467,2020-12-08,USA,2,S
ISL_754468,2020-12-08,USA,1,S
ISL_754475,2020-12-08,USA,4,S
ISL_754476,2020-12-08,USA,1,S
ISL_754494,2020-11-25,USA,1,S
ISL_754528,2020-10-01,USA,3,S
ISL_754543,2020-12-11,USA,2,S
ISL_754546,2020-11-17,USA,1,S
ISL_754566,2020-12-10,USA,3,S
ISL_754567,2020-12-10,USA,1,S
ISL_754573,2020-12-11,USA,1,S
ISL_754584,2020-11-19,USA,1,S
ISL_754607,2020-11-22,USA,4,S
ISL_754612,2020-11-22,USA,4,S
ISL_754617,2020-11-22,USA,4,S
ISL_754629,2020-12-11,USA,1,S
ISL_754632,2020-12-11,USA,1,S
ISL_754636,2020-12-14,USA,1,S
ISL_754637,2020-12-14,USA,1,S
ISL_754641,2020-12-14,USA,1,S
ISL_754644,2020-12-15,USA,2,S
ISL_754647,2020-12-15,USA,1,S
ISL_754651,2020-12-16,USA,1,S
ISL_754656,2020-12-17,USA,1,S
ISL_754658,2020-12-02,USA,2,S
ISL_754659,2020-12-04,USA,1,S
ISL_754665,2020-12-04,USA,1,S
ISL_754669,2020-12-05,USA,1,S
ISL_754671,2020-12-05,USA,2,S
ISL_754701,2020-10-18,USA,1,S
ISL_754704,2020-10-17,USA,2,S
ISL_754711,2020-10-18,USA,1,S
ISL_754734,2020-10-20,USA,1,S
ISL_754770,2020-12-03,USA,1,S
ISL_754783,2020-10-22,USA,1,S
ISL_754786,2020-10-22,USA,1,S
ISL_754799,2020-10-22,USA,1,S
ISL_754804,2020-10-21,USA,1,S
ISL_754814,2020-10-21,USA,1,S
ISL_754815,2020-10-21,USA,1,S
ISL_754816,2020-10-21,USA,1,S
ISL_754832,2020-10-21,USA,1,S
ISL_754895,2020-07-09,USA,2,S
ISL_754964,2020-09-20,USA,1,S
ISL_754977,2020-07-07,USA,1,S
ISL_754979,2020-09-26,USA,1,S
ISL_754983,2020-11-14,USA,1,S
ISL_755058,2020-09-27,USA,3,S
ISL_755066,2020-10-08,USA,1,S
ISL_755068,2020-11-15,USA,1,S
ISL_755088,2020-11-14,USA,1,S
ISL_755095,2020-11-15,USA,1,S
ISL_755114,2020-12-04,USA,1,S
ISL_755146,2020-12-13,USA,1,S
ISL_755148,2020-12-08,USA,2,S
ISL_755163,2020-12-10,USA,1,S
ISL_755174,2020-12-12,USA,1,S
ISL_755176,2020-12-14,USA,1,S
ISL_755177,2020-12-14,USA,3,S
ISL_755188,2020-12-17,USA,5,S
ISL_755190,2020-12-04,USA,2,S
ISL_755196,2020-12-05,USA,2,S
ISL_755202,2020-12-02,USA,2,S
ISL_755218,2020-12-01,USA,2,S
ISL_755221,2020-12-06,USA,1,S
ISL_755274,2020-11-17,USA,3,S
ISL_755277,2020-11-25,USA,3,S
ISL_755286,2020-12-01,USA,2,S
ISL_404253,2020-01-21,USA,1,N
ISL_404895,2020-01-19,USA,1,N
ISL_406034,2020-01-23,USA,2,N
ISL_406036,2020-01-22,USA,1,N
ISL_406223,2020-01-22,USA,0,N
ISL_407071,2020-01-29,UK,1,N
ISL_407073,2020-01-29,UK,1,N
ISL_407214,2020-01-25,USA,1,N
ISL_407215,2020-01-25,USA,1,N
ISL_408008,2020-01-29,USA,2,N
ISL_408009,2020-01-29,USA,2,N
ISL_408010,2020-01-29,USA,1,N
ISL_408670,2020-01-31,USA,1,N
ISL_409067,2020-01-29,USA,2,N
ISL_410044,2020-01-27,USA,1,N
ISL_410045,2020-01-28,USA,1,N
ISL_411954,2020-02-06,USA,2,N
ISL_411955,2020-02-10,USA,1,N
ISL_411956,2020-02-11,USA,0,N
ISL_412116,2020-02-09,UK,1,N
ISL_412862,2020-02-23,USA,1,N
ISL_412970,2020-02-24,USA,1,N
ISL_413025,2020-02-27,USA,1,N
ISL_413455,2020-02-28,USA,1,N
ISL_413456,2020-02-20,USA,1,N
ISL_413457,2020-02-29,USA,1,N
ISL_413555,2020-02-27,UK,1,N
ISL_413558,2020-02-27,USA,1,N
ISL_413559,2020-02-27,USA,1,N
ISL_413560,2020-02-28,USA,1,N
ISL_413561,2020-02-27,USA,1,N
ISL_414005,2020-02-25,UK,1,N
ISL_414006,2020-02-28,UK,1,N
ISL_414007,2020-02-28,UK,1,N
ISL_414008,2020-02-27,UK,2,N
ISL_414009,2020-02-25,UK,1,N
ISL_414010,2020-02-26,UK,1,N
ISL_414011,2020-02-26,UK,1,N
ISL_414012,2020-02-27,UK,4,N
ISL_414027,2020-03-04,UK,1,N
ISL_414040,2020-02-05,UK,1,N
ISL_414041,2020-02-08,UK,1,N
ISL_414042,2020-02-08,UK,1,N
ISL_414043,2020-02-07,UK,1,N
ISL_414044,2020-02-08,UK,1,N
ISL_414476,2020-02-29,USA,2,N
ISL_414486,2020-03-07,UK,4,N
ISL_414522,2020-02-28,UK,2,N
ISL_414523,2020-02-27,UK,1,N
ISL_414949,2020-02-26,UK,1,N
ISL_415129,2020-02-29,UK,4,N
ISL_415131,2020-02-29,UK,1,N
ISL_415132,2020-02-28,UK,1,N
ISL_415133,2020-02-29,UK,1,N
ISL_415134,2020-02-29,UK,1,N
ISL_415135,2020-02-28,UK,1,N
ISL_415136,2020-02-29,UK,1,N
ISL_415137,2020-03-02,UK,1,N
ISL_415140,2020-02-29,UK,1,N
ISL_415141,2020-02-29,UK,1,N
ISL_415144,2020-02-27,UK,1,N
ISL_415612,2020-03-09,USA,1,N
ISL_415615,2020-03-08,USA,1,N
ISL_415634,2020-03-06,UK,4,N
ISL_415635,2020-03-09,UK,4,N
ISL_415977,2020-03-08,UK,4,N
ISL_416460,2020-02-29,USA,1,N
ISL_416461,2020-02-29,USA,1,N
ISL_416462,2020-02-24,USA,1,N
ISL_416465,2020-02-29,USA,1,N
ISL_417084,2020-03-02,USA,1,N
ISL_417093,2020-02-28,USA,1,N
ISL_417094,2020-02-28,USA,1,N
ISL_417095,2020-02-28,USA,1,N
ISL_417096,2020-02-27,USA,1,N
ISL_417097,2020-02-28,USA,1,N
ISL_417098,2020-02-29,USA,1,N
ISL_417099,2020-02-29,USA,1,N
ISL_417100,2020-02-29,USA,1,N
ISL_417101,2020-02-29,USA,1,N
ISL_417108,2020-02-29,USA,1,N
ISL_417134,2020-02-26,USA,1,N
ISL_417135,2020-02-22,USA,1,N
ISL_417137,2020-02-21,USA,1,N
ISL_417142,2020-02-29,USA,1,N
ISL_417143,2020-02-29,USA,1,N
ISL_417145,2020-02-29,USA,1,N
ISL_417146,2020-02-29,USA,1,N
ISL_417147,2020-02-28,USA,1,N
ISL_417148,2020-02-28,USA,1,N
ISL_417149,2020-02-28,USA,1,N
ISL_417150,2020-02-28,USA,1,N
ISL_417151,2020-02-29,USA,1,N
ISL_417152,2020-02-28,USA,1,N
ISL_417153,2020-02-29,USA,1,N
ISL_417154,2020-02-28,USA,1,N
ISL_417155,2020-02-28,USA,1,N
ISL_417156,2020-02-28,USA,1,N
ISL_417158,2020-02-28,USA,1,N
ISL_417159,2020-02-29,USA,1,N
ISL_417160,2020-02-29,USA,1,N
ISL_417161,2020-02-29,USA,1,N
ISL_417166,2020-02-29,USA,1,N
ISL_417168,2020-02-29,USA,1,N
ISL_417172,2020-02-29,USA,1,N
ISL_417215,2020-02-25,UK,1,N
ISL_417216,2020-02-25,UK,1,N
ISL_417279,2020-03-07,UK,5,N
ISL_417318,2020-02-29,USA,1,N
ISL_417448,2020-03-14,USA,1,N
ISL_417473,2020-03-13,USA,1,N
ISL_417933,2020-03-18,USA,4,N
ISL_418291,2020-03-16,UK,1,N
ISL_418321,2020-03-25,UK,1,N
ISL_418939,2020-03-17,USA,1,N
ISL_418967,2020-03-11,USA,1,N
ISL_419263,2020-03-10,USA,1,N
ISL_419392,2020-03-13,USA,1,N
ISL_419553,2020-02-28,USA,1,N
ISL_419554,2020-02-26,USA,1,N
ISL_419555,2020-02-27,USA,1,N
ISL_419556,2020-02-29,USA,1,N
ISL_419557,2020-02-29,USA,4,N
ISL_419559,2020-02-28,USA,4,N
ISL_419560,2020-02-28,USA,4,N
ISL_419561,2020-02-29,USA,1,N
ISL_420026,2020-03-27,USA,1,N
ISL_420185,2020-03-27,UK,1,N
ISL_420216,2020-03-29,UK,2,N
ISL_420687,2020-03-28,UK,4,N
ISL_420707,2020-03-28,UK,4,N
ISL_420712,2020-03-27,UK,1,N
ISL_420791,2020-02-29,USA,1,N
ISL_420796,2020-02-29,USA,2,N
ISL_420975,2020-03-22,UK,1,N
ISL_420981,2020-03-23,UK,1,N
ISL_420982,2020-03-23,UK,1,N
ISL_421317,2020-03-24,USA,1,N
ISL_421406,2020-03-18,USA,1,N
ISL_421622,2020-03-20,USA,1,N
ISL_421720,2020-03-18,USA,2,N
ISL_421819,2020-03-26,UK,1,N
ISL_421831,2020-03-23,UK,4,N
ISL_421836,2020-03-26,UK,4,N
ISL_421907,2020-03-26,UK,1,N
ISL_422043,2020-03-29,UK,1,N
ISL_422077,2020-03-29,UK,2,N
ISL_422133,2020-03-30,UK,1,N
ISL_422228,2020-03-23,UK,5,N
ISL_422538,2020-03-19,USA,1,N
ISL_422962,2020-03-16,USA,1,N
ISL_423003,2020-03-19,USA,1,N
ISL_423006,2020-03-19,USA,1,N
ISL_423059,2020-03-24,UK,2,N
ISL_423248,2020-03-25,UK,1,N
ISL_423252,2020-03-25,UK,1,N
ISL_423269,2020-03-27,UK,1,N
ISL_423316,2020-03-26,UK,1,N
ISL_423327,2020-03-27,UK,1,N
ISL_423333,2020-03-27,UK,1,N
ISL_423382,2020-03-29,UK,1,N
ISL_423467,2020-03-30,UK,1,N
ISL_423477,2020-03-30,UK,1,N
ISL_423624,2020-03-22,UK,1,N
ISL_423865,2020-03-19,UK,2,N
ISL_423935,2020-03-18,UK,1,N
ISL_423937,2020-03-19,UK,1,N
ISL_424013,2020-03-21,UK,1,N
ISL_424243,2020-03-21,USA,1,N
ISL_424253,2020-03-21,USA,1,N
ISL_424290,2020-03-23,USA,1,N
ISL_424943,2020-04-01,USA,1,N
ISL_424959,2020-04-01,USA,1,N
ISL_425283,2020-03-20,UK,4,N
ISL_425378,2020-03-17,UK,1,N
ISL_425409,2020-03-17,UK,1,N
ISL_425414,2020-03-13,UK,4,N
ISL_425453,2020-04-01,UK,4,N
ISL_425532,2020-03-21,UK,1,N
ISL_425560,2020-03-23,UK,1,N
ISL_425610,2020-03-29,UK,1,N
ISL_425800,2020-03-10,UK,4,N
ISL_425992,2020-03-30,UK,1,N
ISL_425995,2020-03-30,UK,2,N
ISL_426061,2020-03-23,USA,1,N
ISL_426290,2020-03-08,USA,1,N
ISL_426293,2020-03-10,USA,1,N
ISL_426316,2020-03-15,USA,1,N
ISL_426461,2020-03-27,USA,2,N
ISL_426504,2020-03-17,USA,1,N
ISL_427231,2020-03-29,USA,1,N
ISL_427287,2020-03-23,USA,1,N
ISL_427461,2020-04-12,USA,2,N
ISL_427533,2020-03-13,USA,1,N
ISL_427538,2020-03-13,USA,1,N
ISL_427583,2020-03-16,USA,1,N
ISL_427608,2020-03-16,USA,1,N
ISL_428256,2020-03-15,USA,1,N
ISL_428329,2020-03-27,USA,1,N
ISL_428770,2020-04-05,USA,1,N
ISL_428776,2020-04-05,USA,1,N
ISL_428799,2020-04-05,USA,1,N
ISL_429613,2020-03-26,USA,1,N
ISL_429644,2020-04-08,USA,1,N
ISL_430126,2020-02-26,USA,1,N
ISL_430131,2020-02-22,USA,1,N
ISL_430135,2020-02-29,USA,1,N
ISL_430139,2020-03-29,USA,1,N
ISL_430160,2020-02-29,USA,1,N
ISL_430173,2020-03-13,USA,1,N
ISL_430263,2020-03-20,USA,1,N
ISL_430272,2020-02-28,USA,1,N
ISL_430273,2020-02-29,USA,1,N
ISL_430281,2020-02-29,USA,2,N
ISL_430292,2020-02-24,USA,1,N
ISL_430295,2020-02-25,USA,1,N
ISL_430403,2020-04-10,USA,1,N
ISL_430405,2020-04-10,USA,1,N
ISL_430419,2020-04-13,USA,1,N
ISL_430901,2020-04-05,USA,1,N
ISL_430907,2020-04-07,USA,1,N
ISL_430964,2020-04-02,USA,1,N
ISL_431908,2020-04-01,UK,1,N
ISL_431997,2020-04-07,UK,2,N
ISL_432007,2020-03-31,UK,1,N
ISL_432176,2020-04-01,UK,2,N
ISL_432277,2020-03-31,UK,4,N
ISL_432297,2020-04-04,UK,2,N
ISL_432347,2020-03-29,UK,4,N
ISL_432350,2020-04-01,UK,2,N
ISL_432400,2020-03-24,UK,2,N
ISL_432408,2020-04-01,UK,2,N
ISL_432543,2020-03-29,UK,2,N
ISL_432585,2020-04-15,UK,4,N
ISL_432623,2020-04-07,UK,1,N
ISL_432637,2020-04-06,UK,5,N
ISL_432663,2020-03-24,UK,4,N
ISL_432921,2020-03-28,UK,4,N
ISL_432931,2020-03-28,UK,1,N
ISL_433034,2020-04-03,UK,1,N
ISL_433074,2020-03-24,UK,1,N
ISL_433154,2020-04-17,UK,2,N
ISL_433156,2020-04-17,UK,1,N
ISL_433170,2020-04-18,UK,4,N
ISL_433181,2020-04-19,UK,1,N
ISL_433183,2020-04-19,UK,1,N
ISL_433221,2020-04-02,UK,2,N
ISL_433228,2020-04-02,UK,1,N
ISL_433300,2020-03-23,UK,1,N
ISL_433304,2020-03-23,UK,4,N
ISL_433316,2020-03-25,UK,2,N
ISL_433514,2020-03-29,UK,3,N
ISL_433553,2020-04-01,UK,4,N
ISL_433585,2020-04-02,UK,1,N
ISL_433745,2020-04-05,UK,4,N
ISL_433818,2020-03-27,UK,4,N
ISL_433820,2020-03-26,UK,1,N
ISL_433936,2020-04-10,UK,1,N
ISL_433939,2020-04-11,UK,4,N
ISL_433976,2020-04-13,UK,1,N
ISL_434017,2020-04-15,UK,4,N
ISL_434074,2020-04-03,USA,1,N
ISL_434140,2020-03-27,USA,1,N
ISL_434173,2020-03-26,USA,1,N
ISL_434194,2020-03-28,USA,1,N
ISL_434220,2020-04-05,USA,1,N
ISL_434281,2020-03-25,USA,1,N
ISL_434739,2020-03-13,USA,1,N
ISL_434825,2020-03-20,USA,1,N
ISL_434949,2020-03-29,USA,4,N
ISL_434950,2020-03-29,USA,1,N
ISL_435001,2020-04-01,USA,1,N
ISL_435465,2020-03-31,USA,1,N
ISL_435485,2020-03-30,USA,1,N
ISL_435526,2020-04-20,USA,1,N
ISL_435580,2020-02-26,USA,1,N
ISL_435581,2020-02-28,USA,1,N
ISL_435582,2020-02-28,USA,1,N
ISL_435583,2020-02-29,USA,1,N
ISL_435585,2020-02-29,USA,1,N
ISL_435587,2020-02-29,USA,1,N
ISL_436069,2020-03-09,USA,1,N
ISL_436480,2020-03-15,USA,1,N
ISL_436503,2020-03-15,USA,1,N
ISL_436605,2020-04-14,USA,1,N
ISL_436647,2020-04-04,USA,1,N
